0_TECH_XOR_EXTERNAL,09_09_12_55_55.csv,80,80,80,734593,734698,734861,734732,734695,735153,735181,734757,734673,734570,734576,734771,735064,734989,734783,734715,734521,734442,734524,734443,734730,734406,734433,734311,734557,734662,734543,734480,734501,734368,734339,734685,734491,734649,734868,734723,734705,734544,734546,734652,734747,734662,734752,734666,734765,734743,734932,734818,734815,734892,734801,734714,734927,734980,735084,735011,735045,735001,734872,734931,734733,734672,734750,734835,734983,734800,734752,735065,735048,735023,735126,734972,734928,734809,734996,735047,734915,735033,734890,735009,734864,734941,734861,734845,734830,734923,735030,734849,734857,734901,
10_TECH_FLETCHER_INTERMEDIATE,09_09_13_12_17.csv,80,80,80,759783,759569,759657,759619,759596,759581,759608,759229,759588,759595,759259,759519,759503,759602,760028,759515,759634,759498,759533,759483,759506,759243,759799,759581,759576,759555,759659,759598,759370,759376,759653,759540,759511,759662,759420,759529,759683,759381,759341,759539,759430,759623,759605,759411,759454,759156,759388,759485,759360,759181,759312,759280,759277,759196,759421,759470,759360,759184,759120,759209,759359,759386,759213,759525,759463,759191,759331,759425,759524,759602,759635,759607,759364,759672,759531,759367,759484,759478,759298,759358,759476,759400,759469,759371,759102,759282,759327,759155,759167,759178,
11_TECH_FLETCHER_INTERNAL,09_09_13_14_11.csv,80,80,80,927162,926810,927295,926551,926691,927302,926758,927118,927577,927951,927657,927012,927174,927363,927582,927787,928159,927334,927188,926955,926962,926904,927438,927163,927121,927114,927187,926928,927397,926788,927338,926849,926806,926804,927590,926690,926548,926853,927149,926949,927373,927397,927187,927329,927597,927189,927426,927247,927085,927137,927137,927173,927132,927155,927187,927438,926858,926780,926946,927297,927538,926825,927238,927532,927064,927179,927185,926988,927357,927273,927195,927279,927360,926715,927644,927351,927082,927027,927264,927036,926970,927160,927483,926800,927085,927054,927076,926672,927157,927228,
12_TECH_CRC_EXTERNAL,09_09_13_15_46.csv,80,80,80,735595,735739,735780,735728,735728,735749,735776,735806,735963,735796,735865,735976,735871,735729,735811,735874,735583,735816,735758,735565,735753,735620,735662,735608,735743,735791,735602,735589,735621,735680,735741,735627,735518,735567,735510,735559,735678,735514,735529,735543,735156,735249,735374,735486,735556,735499,735726,735723,735642,735638,735675,735453,735681,735458,735641,735616,735485,735400,735389,735495,735575,735523,735621,735726,735584,735397,735277,735570,735735,735497,735680,735475,735418,735335,735278,735438,735356,735750,735625,735397,735467,735646,735562,735426,735728,735643,735660,735911,735788,736012,
13_TECH_CRC_INTERMEDIATE,09_09_13_17_23.csv,80,80,80,752785,752726,752630,752754,752674,752688,752901,752643,752756,752909,752991,752878,752926,752748,752901,752860,752682,752642,752722,752853,753033,752922,752851,752751,752557,752622,752790,752904,752937,753031,753110,752985,752874,753017,752777,752699,752728,752610,752710,752779,753145,753168,753203,752839,752945,752868,752928,752996,753096,752988,752943,752948,752748,752890,752906,752895,752952,752935,753073,753088,752926,752957,752925,752952,752971,752943,753054,752971,752919,752798,752830,752923,752946,752970,752977,753110,753017,753004,752775,753063,753204,753224,753108,753005,752772,752888,752936,752982,752999,753066,
14_TECH_CRC_INTERNAL,09_09_13_19_14.csv,80,80,80,882064,882200,882296,881932,882071,882078,882158,881842,882234,881983,882129,882247,882303,882300,882290,882085,882231,882198,882418,882156,882340,882163,882102,881952,882324,882131,882319,882221,882131,882136,882495,882144,882347,882286,882314,882513,882408,882307,882341,882302,882260,882068,881954,881995,882058,882095,882072,882009,882182,882036,881887,881863,881968,882030,882139,881960,881825,881835,881971,881857,881688,881874,881921,881714,882017,881985,882054,881969,881778,882062,882012,881853,882008,881638,881933,882104,882095,882036,882325,882305,882264,882136,882497,882317,882320,882315,882179,881868,882071,881857,
15_TECH_XOR_FLET,09_09_13_21_00.csv,80,80,80,845242,845332,845383,845323,845548,845380,845479,845375,845526,845209,845147,845258,845126,845188,845114,845262,845317,845292,845125,845350,845580,845530,845616,845535,845224,845252,845499,845446,845296,845237,845185,845323,845495,845340,845820,845820,845714,845654,845818,845711,845552,845437,845510,845801,845984,845693,845610,845734,845848,845672,845448,845701,845635,845498,845294,845443,845282,845364,845533,845452,845537,845428,845255,845306,845303,845320,845390,845200,845339,845275,845382,845303,845252,845399,845613,845420,845199,845349,845419,845403,845297,845396,845436,845369,845407,845343,845616,845310,845439,845358,
16_TECH_XOR_CRC,09_09_13_22_45.csv,80,80,80,838477,838455,838546,838232,838620,838357,838592,838566,838552,838709,838490,838665,838563,838335,838568,838747,838556,838564,838439,838490,838455,838511,838489,838422,838445,838611,838586,838779,838579,838439,838509,838363,838414,838691,838699,838548,838687,838715,838388,838688,838488,838447,838814,838700,838554,838993,838676,838711,838718,838989,838730,838501,838685,838743,838665,838837,838954,838867,838754,838741,838625,838909,838643,838842,838713,838737,838575,838558,838703,838627,838408,838657,838279,838566,838529,838268,838319,838467,838627,838360,838585,838851,838781,838474,838487,838457,838865,838521,838560,838833,
17_TECH_ONES_FLET,09_09_13_24_30.csv,80,80,80,841855,841627,841714,841990,842000,841848,841847,841705,841641,841741,841902,841712,841794,841580,841857,841870,841872,841807,841665,841841,841673,841697,841749,841676,841710,841552,841791,841805,841828,841639,841882,841711,841474,841733,841815,841871,841855,841700,841669,841775,841721,841690,841696,841869,842070,842049,841667,841844,842031,841994,842092,841925,842170,841981,841958,841987,842058,842034,842177,841875,842068,842080,842048,842073,842237,842166,842116,842284,842274,842392,842393,842284,842467,842540,842509,842288,842183,842439,842534,842546,842395,842416,842321,842144,842145,842074,841985,842047,842047,842113,
18_TECH_ONES_CRC,09_09_13_26_15.csv,80,80,80,835292,835281,835302,835275,835305,835299,835107,835187,835262,835213,835544,835451,835247,835475,835584,835546,835438,835468,835245,835476,835623,835390,835131,835433,835487,835280,835309,835462,835488,835629,835183,835177,835392,835325,835439,835494,835327,835387,835274,835638,835614,835344,835444,835661,835559,835351,835288,835033,835322,835535,835552,835643,835456,835580,835513,835497,835528,835395,835480,835592,835368,835312,835191,835213,835085,835123,835220,835004,834802,835016,834972,835165,834941,835055,834986,834986,834876,835100,835150,835313,835438,835413,835334,835584,835525,835202,835449,835376,835437,835334,
19_TECH_TWOS_FLET,09_09_13_28_01.csv,80,80,80,846446,846375,846242,846457,846569,846439,846386,846550,846368,846481,846486,846507,846366,846441,846331,846201,846367,846411,846401,846316,846296,846271,846369,846123,846367,846220,846138,846373,846279,846454,846305,846093,846200,846439,846390,846414,846354,846241,846461,846291,846412,846323,846472,846360,846646,846762,846774,846650,846511,846654,846603,846238,846427,846381,846498,846482,846375,846144,846180,845990,846328,846323,846338,846332,846391,846369,846412,846379,846499,846467,846671,846552,846606,846587,846634,846548,846386,846113,846541,846233,846134,846226,846154,846438,846288,846237,846197,846509,846465,846450,
