0_TECH_NO_ED,10_06_16_58_33.csv,160,160,160,538,543,540,541,543,542,540,540,542,546,571,543,544,540,537,540,540,537,533,519,540,541,543,540,544,541,544,556,546,542,540,542,539,542,536,540,541,516,543,540,539,542,540,541,543,539,539,537,541,539,539,533,540,572,536,538,531,529,537,535,536,533,547,538,537,536,538,538,536,538,538,536,538,540,545,544,535,537,539,540,537,536,537,539,535,537,538,538,535,533,534,542,541,537,536,536,534,538,537,535,538,529,537,537,540,531,532,535,536,535,538,538,537,537,538,534,537,537,535,533,535,534,538,537,539,534,534,538,533,537,539,537,535,537,537,532,531,536,535,536,536,537,536,535,537,536,534,537,538,532,532,530,560,535,538,537,538,539,537,536,537,531,536,537,539,536,534,537,535,539,538,530,545,539,538,530,536,536,535,537,538,537,534,538,536,535,534,538,535,536,537,539,536,535,535,535,537,530,533,533,539,536,534,538,538,534,535,541,538,538,537,545,537,537,536,534,507,546,534,534,537,536,536,531,536,534,536,537,536,535,535,536,535,538,538,534,539,534,535,538,538,536,536,537,530,536,538,530,536,548,
10_TECH_FLETCHER_EXTERNAL,10_06_17_02_31.csv,160,160,160,764,764,768,761,759,760,761,758,757,759,758,766,763,768,764,763,761,765,758,767,766,765,764,765,765,765,764,762,762,762,761,764,763,774,765,766,766,764,766,775,765,764,762,765,763,761,762,761,764,769,766,766,765,756,773,765,763,762,760,762,761,766,764,766,760,764,764,764,780,765,766,764,763,769,762,754,756,760,779,768,767,765,766,766,766,766,765,766,766,762,762,762,759,762,763,765,765,766,767,767,764,765,766,763,755,760,762,758,763,765,763,761,763,764,760,765,764,764,763,760,761,758,760,761,765,764,767,763,764,764,772,765,763,766,760,759,759,760,763,765,765,763,766,765,763,764,764,762,766,763,759,760,762,762,765,765,763,763,761,764,767,765,763,764,759,759,761,760,765,762,763,767,764,763,767,766,770,762,763,761,764,761,762,766,766,763,764,765,763,765,765,757,765,763,761,764,570,451,452,446,443,442,450,438,450,442,443,444,449,445,443,442,436,441,446,442,445,441,449,445,442,443,446,439,444,441,446,442,441,449,439,442,446,444,450,442,445,452,442,444,449,443,442,443,444,441,452,444,444,444,
11_TECH_FLETCHER_INTERMEDIATE,10_06_17_02_56.csv,160,160,160,602,605,602,597,597,597,598,599,598,596,618,595,629,599,603,618,602,601,603,605,600,596,594,594,598,598,599,597,597,601,604,600,599,604,598,594,606,600,594,601,596,594,598,619,594,602,603,600,599,596,592,594,594,595,595,603,599,592,597,594,598,603,600,602,597,596,593,595,598,594,606,597,596,599,597,601,600,624,602,594,594,597,599,599,599,593,596,597,592,609,601,601,601,603,597,594,598,596,602,595,606,592,600,595,591,602,602,604,600,597,607,596,598,593,594,602,595,592,594,597,607,600,602,598,598,595,594,595,600,591,595,594,587,604,598,591,599,602,598,597,595,594,592,614,599,592,595,595,590,596,597,598,632,600,600,599,602,601,599,601,599,597,594,598,596,600,598,598,601,601,596,602,598,599,606,601,600,599,598,611,603,599,602,603,602,602,597,624,598,598,598,599,595,609,599,598,622,599,600,605,595,599,594,600,597,598,595,598,599,600,631,597,601,599,596,598,599,630,594,598,593,593,598,597,605,595,595,594,595,602,595,593,646,590,591,594,603,602,596,604,593,593,595,591,596,596,590,596,616,594,
12_TECH_FLETCHER_INTERNAL,10_06_17_03_47.csv,160,160,160,6397,6401,6409,6401,6400,6390,6391,6395,6394,6392,6392,6390,6392,6393,6395,6400,6400,6399,6398,6396,6394,6399,6391,6394,6394,6391,6394,6390,6390,6391,6407,6400,6403,6402,6405,6396,6396,6390,6391,6392,6395,6394,6391,6394,6395,6391,6401,6395,6396,6408,6390,6390,6400,6392,6393,6392,6393,6392,6389,6392,6392,6428,6404,6419,6398,6418,6391,6392,6390,6390,6391,6402,6394,6390,6391,6391,6397,6399,6394,6398,6392,6389,6393,6392,6392,6392,6391,6391,6391,6398,6391,6394,6401,6416,6395,6392,6390,6400,6390,6389,6393,6389,6391,6390,6389,6391,6396,6397,6401,6396,6443,6414,6407,6393,6406,6396,6391,6393,6394,6393,6390,6389,6398,6417,6411,6414,6409,6401,6394,6403,6392,6392,6392,6393,6392,6390,6391,6397,6398,6415,6409,6392,6401,6391,6402,6391,6393,6392,6389,6391,6389,6390,6390,6398,6397,6391,6393,6395,6393,6393,6391,6388,6391,6391,6391,6392,6390,6416,6395,6391,6396,6392,6388,6391,6398,6392,6393,6389,6393,6389,6391,6392,6389,6390,6392,6392,6389,6394,6393,6399,6394,6390,6389,6395,6390,6389,6393,6391,6391,6393,6392,6407,6397,6392,6389,6389,6398,6394,6395,6393,6393,6390,6392,6390,6391,6391,6402,6396,6390,6393,6390,6390,6391,6391,6390,6398,6393,6394,6392,6391,6392,6389,6419,6392,6389,6405,6391,6389,6392,6388,6390,6395,6392,6392,6393,6392,6391,6392,6389,6389,
13_TECH_CRC_EXTERNAL,10_06_17_04_11.csv,160,160,160,824,814,827,825,819,829,830,828,831,826,830,831,828,829,825,831,827,829,823,829,830,847,826,825,825,817,824,825,824,837,854,825,826,824,825,824,822,826,823,823,826,837,828,837,828,827,825,837,824,827,825,825,831,835,830,828,823,831,828,832,833,825,836,826,825,801,827,835,819,821,825,817,816,799,824,819,822,826,827,839,826,822,821,822,820,835,826,834,821,826,823,830,824,831,825,825,820,830,822,821,821,822,827,823,824,824,819,828,822,824,823,821,822,825,820,827,825,822,827,824,822,826,836,838,833,830,821,818,820,819,822,822,822,825,824,820,794,823,820,823,821,819,816,823,821,821,820,823,821,822,823,824,820,825,826,823,819,825,826,825,822,822,824,814,821,817,824,825,823,825,824,823,822,821,819,829,822,822,826,820,823,811,826,825,824,820,823,829,822,819,823,822,822,822,834,832,822,825,823,827,824,821,822,822,821,817,815,824,843,823,642,476,481,476,473,476,474,475,473,475,474,475,476,473,476,475,474,475,476,476,471,482,475,475,474,474,476,473,475,469,475,476,481,474,471,475,474,478,476,474,
14_TECH_CRC_INTERMEDIATE,10_06_17_04_37.csv,160,160,160,710,708,709,712,707,717,719,719,722,716,712,717,708,706,705,712,711,747,711,705,757,721,719,711,716,709,742,714,708,705,705,708,746,704,708,708,711,714,724,712,713,711,705,705,705,709,707,704,706,705,705,712,711,712,710,708,703,703,703,704,706,704,703,702,706,707,706,708,712,710,710,703,699,703,704,705,726,703,703,703,711,704,713,711,710,708,702,705,701,704,701,705,704,705,715,701,705,720,708,709,711,704,703,704,701,700,704,704,702,704,705,705,712,725,711,711,704,714,703,706,702,702,702,703,703,703,704,706,711,710,712,704,702,705,702,704,702,704,704,705,704,705,720,713,712,709,703,706,701,707,726,706,706,706,703,718,704,706,703,704,701,703,703,704,705,701,703,705,704,702,716,702,704,703,702,704,706,723,703,704,702,705,702,704,715,705,710,704,709,708,705,704,705,703,703,704,703,702,704,705,702,704,704,704,704,703,704,705,704,713,701,702,699,707,702,706,703,701,703,704,704,705,703,703,651,604,603,605,605,602,604,604,612,606,605,597,602,604,605,603,605,604,601,604,603,602,606,604,603,604,
15_TECH_CRC_INTERNAL,10_06_17_05_32.csv,160,160,160,6179,6189,6179,6208,6180,6182,6177,6198,6185,6195,6190,6211,6181,6182,6186,6179,6175,6175,6180,6185,6175,6179,6178,6184,6183,6181,6216,6177,6178,6176,6191,6180,6202,6189,6194,6186,6200,6178,6184,6187,6183,6181,6180,6177,6177,6177,6177,6177,6177,6200,6184,6184,6178,6210,6185,6187,6189,6175,6180,6178,6177,6181,6176,6180,6177,6175,6184,6181,6184,6186,6180,6196,6179,6175,6203,6179,6177,6178,6178,6176,6180,6175,6179,6182,6182,6181,6184,6183,6177,6176,6176,6174,6179,6176,6176,6177,6174,6183,6186,6186,6183,6180,6180,6177,6180,6176,6175,6176,6175,6176,6181,6181,6179,6186,6184,6189,6182,6185,6177,6177,6191,6190,6179,6177,6174,6176,6175,6183,6179,6179,6184,6189,6182,6177,6177,6172,6178,6176,6174,6176,6180,6178,6177,6176,6184,6178,6191,6189,6175,6175,6191,6176,6177,6177,6179,6179,6175,6177,6174,6176,6180,6177,6175,6190,6176,6177,6175,6175,6181,6177,6183,6179,6174,6178,6175,6174,6186,6178,6174,6182,6172,6177,6176,6175,6174,6177,6176,6175,6175,6178,6177,6173,6215,6195,6184,6184,6174,6178,6177,6174,6175,6179,6175,6175,6205,6186,6179,6173,6178,6181,6175,6184,6177,6177,6175,6180,6181,6203,6188,6202,6177,6180,6178,6180,6178,6177,6188,6180,6182,6175,6176,6174,6179,6179,6182,6179,6187,6184,6178,6176,6176,6175,6178,6180,6197,6179,6181,6175,6177,6179,
16_TECH_XOR_FLET,10_06_17_05_57.csv,160,160,160,661,666,666,662,657,667,660,657,686,658,659,681,659,660,664,664,663,666,663,658,657,660,661,661,657,659,658,658,656,655,663,663,664,663,670,657,658,660,664,652,654,666,678,655,653,660,659,660,659,653,674,654,648,647,650,653,647,651,651,651,656,657,658,656,648,651,652,649,650,650,649,651,649,652,651,679,656,661,658,643,672,659,652,648,648,650,645,649,657,651,658,653,658,688,649,649,652,649,649,653,654,652,648,651,649,671,656,657,655,648,650,652,651,665,650,654,650,649,648,653,658,655,657,656,656,649,651,645,654,653,652,649,649,652,651,650,655,657,654,660,649,665,651,649,649,650,651,651,651,649,649,651,650,652,650,658,650,652,649,653,650,689,653,655,655,649,649,651,650,649,652,648,657,650,654,659,649,648,651,649,645,649,651,650,649,652,648,648,651,654,653,647,647,651,649,648,649,650,651,650,651,649,666,649,650,651,649,649,651,651,657,653,652,649,650,649,649,649,651,649,652,650,651,652,649,649,649,650,649,650,650,660,651,652,651,648,660,651,651,653,650,650,652,650,651,651,652,657,649,650,
17_TECH_XOR_CRC,10_06_17_06_24.csv,160,160,160,754,758,754,754,755,752,758,761,760,761,765,752,753,752,755,754,755,748,761,753,756,761,760,760,757,812,755,753,752,757,757,754,757,757,753,755,783,760,761,767,765,759,782,757,753,754,759,756,754,756,755,759,753,766,760,762,753,755,757,759,756,754,755,760,753,764,757,763,761,762,761,752,753,759,755,754,756,754,753,761,753,760,761,760,759,758,756,753,754,755,777,755,752,755,756,757,754,759,760,762,758,755,752,754,753,755,755,757,754,754,747,754,766,762,764,761,756,755,756,755,755,755,771,753,753,757,754,762,763,759,759,748,754,755,756,756,753,755,755,785,757,755,757,759,766,761,753,755,754,751,765,755,757,755,755,758,753,754,755,759,753,756,753,766,754,754,756,754,757,753,755,753,756,757,755,752,756,756,753,776,756,753,754,755,754,774,755,751,753,754,757,758,759,756,751,752,756,773,755,757,753,682,651,649,646,650,647,648,648,652,649,646,646,650,649,666,649,648,649,645,648,652,646,646,649,656,645,669,648,649,644,651,654,650,647,647,649,645,649,669,650,646,649,650,644,664,651,649,651,647,
18_TECH_ONES_FLET,10_06_17_06_49.csv,160,160,160,1101,1105,1105,1102,1100,1097,1095,1114,1103,1099,1102,1095,1113,1115,1102,1100,1105,1100,1111,1117,1098,1105,1101,1095,1096,1093,1095,1097,1096,1103,1104,1099,1100,1095,1096,1094,1098,1093,1095,1095,743,636,637,632,643,639,638,639,636,644,633,632,635,631,636,634,632,645,634,640,646,647,642,637,635,632,635,642,639,636,633,634,637,633,640,658,639,639,635,634,637,635,635,641,635,636,632,642,636,638,637,644,651,637,638,633,632,632,634,633,634,643,635,628,634,638,656,647,641,634,632,633,634,634,644,675,683,669,670,670,675,710,680,677,668,667,672,670,671,673,672,669,668,670,671,673,678,829,679,671,670,669,670,666,694,673,677,667,680,670,675,671,671,671,671,669,672,670,672,670,671,671,672,671,669,669,673,671,672,669,668,671,670,668,669,670,670,667,675,670,671,669,670,670,668,668,669,695,668,671,669,668,671,669,671,686,685,671,670,667,668,670,673,686,672,670,680,666,670,670,667,667,674,670,669,668,670,687,670,671,692,670,673,672,672,667,670,668,673,687,670,672,669,652,637,633,634,638,634,630,633,630,634,631,633,633,633,650,633,634,
