0_TECH_XOR_EXTERNAL,09_10_08_17_07.csv,128,128,128,592664,592684,592998,592822,592801,592453,592645,592888,593105,592986,592737,592624,592868,592689,593073,592670,592898,593022,592527,592871,592891,593292,592814,592831,592984,593023,592707,592798,593143,593035,592776,592727,592899,592566,592606,592791,593357,593095,592937,592582,592658,592791,592920,592981,593039,592846,592750,593050,592965,592493,592926,592869,592868,593008,592827,592975,592783,592955,592865,592807,593030,592796,592922,592853,592867,593039,592422,593034,592770,592922,592783,592698,592391,593064,593054,592673,592863,593116,593025,592765,592631,592934,593074,593097,592739,592818,593078,592640,592640,593110,
10_TECH_FLETCHER_INTERMEDIATE,09_10_08_29_48.csv,128,128,128,609694,609550,609774,609213,609561,609378,609687,609668,609589,609633,609390,609757,609391,609789,609624,609387,609798,609151,609621,609494,609063,609818,609627,609546,609790,609604,609461,609538,609512,609299,609450,609612,609688,609522,609843,609527,609410,609798,609595,609677,609464,609479,609722,609214,609575,609725,609834,609619,609996,609626,609454,609530,609389,609729,609230,609471,609657,609557,609665,609719,609352,609476,609669,609620,609631,609589,609537,609456,609756,609436,609278,609604,609654,609565,609847,609632,609708,609444,609518,609649,610075,609747,609372,609210,609710,609470,609954,609343,609635,609781,
11_TECH_FLETCHER_INTERNAL,09_10_08_31_15.csv,128,128,128,732783,732121,732744,731490,731895,731868,732745,732564,733046,732232,732176,732429,732312,732672,732335,732098,732540,732560,732931,732896,732558,732752,732585,732850,732797,732363,732232,731988,732823,732164,732448,732431,733069,731799,733304,732292,732382,732602,732448,732063,732626,731782,732682,732003,732430,732435,732286,732247,732172,732468,732148,732236,732949,732736,732395,732070,732367,732244,732339,732828,732215,732270,732505,732234,732764,732512,732213,732458,732396,732333,732367,732531,733226,732798,732483,732452,732818,732501,732422,732201,733077,732386,732735,732623,732844,732502,732827,732348,732700,732705,
12_TECH_CRC_EXTERNAL,09_10_08_32_29.csv,128,128,128,593957,593829,593755,593727,593886,593936,593930,593638,593708,593768,593643,593845,593926,593870,593855,593686,593869,593462,593731,593799,593967,593526,593761,593920,594023,593754,593895,593899,593626,593706,593776,593662,594017,593922,593795,594070,593975,593793,593551,593638,593729,593739,593636,593912,594027,594060,594145,593923,593864,594069,593726,593723,593597,593791,594029,593785,593839,593885,593934,593780,593691,593816,593900,593956,594205,593924,593892,593736,593883,593889,593780,593881,593686,593713,593739,593808,593761,593913,593950,593926,593629,593746,593872,593790,593668,593875,593865,593906,593727,594022,
13_TECH_CRC_INTERMEDIATE,09_10_08_33_44.csv,128,128,128,608493,608339,608223,608482,608346,608195,608734,608302,608289,607950,608599,608679,608284,608261,608357,608327,608298,608405,608391,608284,608457,608360,608031,607972,607968,608160,608583,608159,608479,608401,608356,607928,608267,608426,608121,608580,608106,608259,608404,608468,608549,608243,607993,608028,608120,607964,608563,608429,608173,607977,608376,608285,608375,608538,608370,608611,608538,608257,607943,608336,608493,608034,608658,608207,608609,608588,608143,608360,608441,608211,608260,608455,608418,608495,608273,607971,608727,608134,607857,608424,608257,608416,608102,608545,607944,608028,608140,608486,608829,608265,
14_TECH_CRC_INTERNAL,09_10_08_35_11.csv,128,128,128,723914,724568,723984,723962,723564,724522,724102,723909,724154,724414,724590,724373,724486,724620,723738,724250,724438,724278,724131,724121,724268,723910,723914,723872,724200,724689,723717,724178,724300,724014,724361,724234,724266,723926,724019,723802,724692,723978,724245,723933,724580,724420,724434,724134,724067,724152,724081,724450,724329,724104,724080,724304,723985,724391,724395,724221,724188,724226,723890,724354,724312,724331,724184,724123,724502,724619,724207,724481,723963,724427,724234,723824,723891,724162,724021,724004,724148,723838,724045,724472,724146,724609,723857,724386,724342,724055,724385,723693,724621,724372,
15_TECH_XOR_FLET,09_10_08_36_34.csv,128,128,128,679558,679478,679463,679609,679761,679421,680204,679576,679828,679746,679795,679849,679515,679842,679424,679838,679567,679370,679706,679829,679627,679645,679471,679536,679344,679456,679541,680246,679137,679684,679253,679929,679585,679762,680060,680104,679776,679669,679750,679521,679523,679575,679434,679880,679519,680187,679995,679760,679654,679457,679421,679875,679518,679644,679767,679624,679794,679982,679609,679678,680061,679406,679752,679408,679490,679742,679439,679830,679346,679413,679390,679690,679298,679650,679562,679534,679742,679763,679737,679819,679680,679485,679816,679236,679440,679564,679638,679874,679424,679666,
16_TECH_XOR_CRC,09_10_08_37_56.csv,128,128,128,684465,684136,684431,684259,684090,684597,684364,684363,684256,684295,684409,684169,684277,684285,684347,684377,684409,684588,684687,684426,684070,684379,684222,684221,684338,684247,684355,684212,684362,684305,684365,684177,684379,684382,684391,684243,684202,684605,684118,684262,684340,684513,684446,684441,684736,684467,684761,684323,684454,684286,684679,684358,684501,684393,684128,684467,684216,684645,684188,684469,684330,684416,684317,684238,684027,684457,684424,684110,684364,684622,684203,684126,684183,684431,684561,684253,684327,684295,684258,684353,684120,684180,684350,684253,684021,684130,684218,684276,684277,684257,
17_TECH_ONES_FLET,09_10_08_39_18.csv,128,128,128,677258,677302,677297,677355,677291,677497,677437,677495,677257,677474,677277,677398,677384,677268,677245,677410,677335,677412,677424,677461,677388,677479,677459,677474,677272,677446,677277,677352,677352,677240,677147,677198,677265,677256,677432,677199,677389,677239,677440,677399,677443,677580,677241,677227,677190,677348,677386,677250,677306,677244,677221,677276,677266,677325,677436,677238,677462,677449,677287,677248,677130,677371,677280,677448,677492,677357,677314,677345,677292,677461,677360,677297,677360,677251,677411,677428,677240,677303,677398,677291,677213,677403,677269,677215,677442,677302,677319,677228,677265,677251,
18_TECH_ONES_CRC,09_10_08_40_42.csv,128,128,128,690703,687684,693285,692499,690841,687470,692838,692788,690136,687085,693235,692238,690499,686826,692859,692347,690317,687210,692937,692626,690019,687461,693069,692180,690933,687766,693118,692658,690364,687133,693404,692429,689731,687943,693053,692665,690467,687816,693431,692268,690248,687576,693103,692650,690642,687550,692504,692656,690717,687928,692787,692834,690413,687636,692935,692220,690554,687276,692929,692240,690626,687055,692505,691959,690234,687550,693165,692527,690228,688050,693372,692341,690249,686721,692987,692138,690015,687067,692792,692524,690290,687493,693063,692115,690841,687393,692827,692515,690068,687144,
