00_TECH_NO_ED,12_03_11_47_23.csv,80,80,80,365355,365529,365219,365404,365322,365340,365074,365241,365123,364898,365158,365428,365400,365140,365309,365280,365362,365130,365240,365191,365265,365434,365109,365337,365216,365153,365119,365273,364852,365130,365305,365209,365159,365058,365012,365270,365287,365453,365305,365303,365218,364970,365310,365003,365137,365210,365248,365319,364982,365211,365296,365159,365356,365020,365513,365360,365276,365026,365217,365318,365308,365503,365458,364990,365195,365175,365159,364960,365233,365039,365238,365167,365299,365340,365361,365248,365243,365217,365371,365055,365251,365204,365441,365464,365275,365170,365261,365491,365052,365383,365148,365129,364996,364941,365137,365457,365313,365071,365169,365499,364891,365137,365325,365258,365209,365091,365242,365320,365161,365313,365255,365345,365161,365182,365151,365259,365200,365408,365147,365063,365329,364995,364815,365140,365275,365061,365263,365189,365190,365105,365100,365388,365116,365192,365127,365023,364999,365276,365098,365351,365198,365314,365142,365215,365240,364944,365104,365294,365124,365101,365368,365078,365290,365178,365099,365112,365110,365021,365106,365010,365338,365158,365232,365066,365053,365124,365166,364985,365262,365410,365354,365323,365147,364971,365277,365237,365195,364960,365462,365076,365063,364918,365275,365290,365321,365135,365161,365217,365287,365456,365374,364924,365038,365308,365271,364960,365081,365026,365116,365034,364961,365222,365163,365419,365212,365524,365160,365066,365280,365096,364968,365302,365300,365268,365229,365213,365180,365315,365312,365408,364975,365074,365079,365101,365460,365321,365145,365028,365362,365217,365421,365329,365045,365554,365211,365182,365300,365139,365323,364994,365369,365341,365204,365097,365143,365317,365245,365386,365029,365414,
01_TECH_XOR_EXTERNAL,12_03_11_49_55.csv,80,80,80,366231,366307,366195,366085,366198,366231,366298,366192,366218,366348,366276,366291,366303,366233,366337,366205,366084,366266,366218,366251,366258,366187,366252,366143,366213,366255,366160,366275,366229,366205,366214,366230,366298,366242,366333,366273,366130,366259,366279,366209,366170,366307,366218,366149,366206,366291,366242,366219,366269,366208,366309,366263,366186,366262,366231,366299,366175,366223,366197,366218,366249,366152,366238,366193,366223,366274,366241,366128,366256,366235,366210,366303,366260,366243,366198,366251,366268,366305,366235,366237,366230,366307,366201,366204,366238,366325,366243,366240,366165,366264,366247,366265,366215,366204,366206,366255,366245,366325,366289,366202,366281,366215,366214,366256,366179,366352,366205,366236,366257,366359,366213,366261,366337,366332,366161,366260,366173,366264,366254,366242,366175,366236,366164,366248,366236,366284,366253,366242,366278,366131,366222,366236,366278,366194,366310,366226,366325,366308,366226,366216,366171,366308,366203,366149,366196,366349,366223,366230,366295,366260,366319,366438,366370,366326,366364,366159,366348,366304,366292,366247,366198,366199,366189,366239,366254,366213,366222,366377,366343,366317,366256,366257,366291,366283,366217,366313,366252,366167,366192,366281,366270,366191,366321,366186,366192,366206,366172,366275,366206,366215,366258,366197,366248,366297,366206,366249,366259,366171,366211,366398,366374,366260,366142,366390,366193,366251,366258,366282,366142,366223,366317,366242,366302,366264,366251,366343,366227,366256,366322,366316,366287,366289,366198,366285,366251,366253,366235,366322,366145,366232,366259,366342,366263,366239,366203,366225,366227,366213,366252,366242,366319,366157,366235,366237,366178,366253,366134,366216,366203,366280,
02_TECH_XOR_INTERMEDIATE,12_03_10_48_49.csv,80,80,80,370872,370751,370971,370802,370973,370770,371041,370827,370686,370882,370754,370720,370787,370814,370679,370884,370804,370826,370684,370784,370693,370739,370833,370830,370806,370808,370802,370884,370760,370762,370743,370741,370712,370696,370816,370779,370746,370666,370741,370839,370868,370818,370766,370753,370805,370746,370802,370687,370815,370859,370779,370858,370825,370712,370683,370759,370663,370865,370637,370905,370713,370841,370739,370699,370763,370729,370954,370677,370789,370765,370775,370777,370715,370749,370945,370809,370659,370776,370885,370705,370698,370889,370820,370826,370768,370833,370894,370777,370774,370682,370763,370822,370848,370863,370780,370703,370967,370759,370826,370619,370865,370714,370916,370653,370859,370688,370709,370711,370804,370835,370733,370694,370762,370890,370721,370727,370700,370842,370682,370815,370822,370814,370822,370747,370709,370827,370827,370728,370824,370633,370764,370847,370794,370847,370763,370842,370752,370730,370793,370754,370909,370816,370865,370843,370770,370856,370900,370760,370959,370767,370809,370887,370912,370733,370814,370689,370915,370692,370728,370848,370905,370664,370943,370753,370742,370742,370878,370760,370679,370878,370733,370800,370776,370859,370771,370695,370738,370835,370816,370706,370884,370788,370742,370750,370818,370699,370765,370667,370709,370800,370733,370734,370666,370858,370735,370727,370786,370841,370695,370732,370823,370759,370785,370665,370821,370756,370683,370598,370855,370865,370791,370801,370791,370878,370804,370712,370922,370875,370667,370714,370633,370756,370804,370776,370691,370805,370860,370793,370775,370802,370851,370719,370857,370719,370761,370753,370667,370689,370866,370801,370824,370871,370787,370726,370653,370846,370758,370655,370789,370822,
03_TECH_XOR_INTERNAL,12_03_10_51_33.csv,80,80,80,395018,394974,395044,394907,394977,394996,394968,394992,394978,394996,394936,395005,394944,395020,395017,395049,395140,395145,395111,395025,394958,394919,395016,395037,394960,394981,394929,394953,395012,394952,394945,394997,394935,394972,394955,394890,394966,395067,395072,395008,395003,395029,395050,395023,395056,394980,394937,394988,394983,395008,395051,394978,394977,394982,395026,394948,395067,395045,395052,394961,395041,395015,394999,395003,395026,394996,394990,395037,394999,394987,395007,394931,394965,394900,394939,394993,394966,395049,395013,394989,394966,395022,394996,394962,394949,394986,394994,395000,395030,394967,394973,395028,395039,394948,394976,394959,394957,394953,394924,394926,394939,394980,395075,394969,395042,395002,395009,395076,394947,395023,394962,395012,394964,394962,394993,394968,394962,395036,395023,394971,395003,394997,394930,394963,395012,394943,395051,394938,394986,394976,395033,395036,395058,395055,394927,395044,394975,394995,395029,395001,394961,394961,395031,394983,394973,394992,394965,394950,395027,394973,394980,395002,394931,394954,395105,394941,395084,394961,395025,394946,394996,394996,395039,394960,394989,394991,394979,395137,394943,394928,395110,394970,394975,395036,395064,394995,394947,395009,395011,394986,394999,395010,394967,394924,394954,395093,395011,394934,394951,394989,394949,395008,394979,395015,394948,395038,394967,395001,395104,395051,394945,395011,394978,394944,395011,394969,395035,395051,394992,395050,395015,395100,395000,394987,395004,394968,395096,395014,394980,395006,394980,394955,394988,395009,395061,395046,394926,395024,395028,394973,394927,394898,395031,394971,394968,395097,394947,394966,394975,394961,394935,395008,394989,394983,394963,395051,394940,394965,394977,394983,
04_TECH_ONES_EXTERNAL,12_03_10_54_13.csv,80,80,80,365360,365421,365365,365425,365401,365417,365435,365362,365355,365397,365177,365303,365367,365243,365367,365133,365301,365183,365268,365270,365198,365322,365278,365368,365434,365273,365402,365337,365162,365212,365303,365288,365370,365300,365326,365196,365289,365226,365245,365186,365245,365233,365404,365255,365366,365193,365329,365238,365210,365255,365165,365217,365180,365184,365246,365343,365254,365359,365293,365288,365237,365342,365252,365258,365204,365350,365312,365248,365269,365323,365376,365318,365351,365172,365205,365360,365487,365218,365169,365240,365268,365332,365430,365278,365263,365244,365379,365267,365310,365187,365302,365136,365386,365357,365262,365323,365218,365304,365271,365295,365199,365280,365318,365353,365261,365045,365246,365305,365218,365301,365157,365230,365232,365318,365193,365303,365276,365285,365255,365261,365167,365194,365254,365209,365144,365210,365246,365394,365356,365147,365192,365330,365396,365174,365167,365180,365232,365218,365128,365204,365289,365423,365052,365237,365341,365333,365271,365165,365386,365286,365164,365346,365245,365257,365335,365280,365272,365286,365315,365231,365186,365365,365343,365299,365210,365317,365368,365147,365140,365125,365329,365200,365194,365248,365288,365166,365271,365284,365241,365217,365311,365307,365211,365391,365193,365263,365149,365308,365387,365257,365328,365246,365339,365311,365262,365237,365175,365243,365379,365252,365112,365242,365146,365216,365278,365371,365186,365278,365297,365331,365348,365167,365309,365409,365274,365254,365297,365090,365260,365220,365169,365263,365189,365268,365206,365216,365212,365330,365319,365203,365389,365205,365240,365276,365318,365288,365322,365143,365199,365326,365349,365278,365255,365217,365264,365264,365203,365273,365310,365166,
05_TECH_ONES_INTERMEDIATE,12_03_10_56_48.csv,80,80,80,368989,369100,369074,369024,369008,369099,369010,369071,369058,369143,369096,369103,369021,369026,369059,369148,369040,369080,369023,368973,369037,368964,369004,368895,369074,369129,369072,369076,369033,369053,369049,369089,369027,369077,369107,368968,369093,369119,368981,369010,369130,369051,369048,369109,368958,369017,369017,369076,369011,369004,369039,369158,369023,369110,368996,369056,368958,369024,369127,368973,369012,369080,369115,369124,369072,369055,369005,369029,369147,369143,369127,369068,369013,369152,369080,369035,369043,369047,369009,369073,369078,369069,368999,369123,369112,369064,369074,369125,369019,369182,369140,369147,369034,369023,369166,368916,369068,369066,369054,369032,369147,369141,369025,369072,369062,369126,369049,369057,369039,369088,369043,369076,369012,369092,369069,369019,369068,369002,369044,369076,368967,369055,368939,369072,369032,369078,369012,369099,369131,369052,369067,369065,369004,369089,369089,369047,369050,369006,369064,369070,368972,369047,369127,369038,369097,369089,369087,369092,369007,369101,369009,369028,368980,369101,368980,368974,369036,369049,369031,369073,369037,369134,369105,369013,368951,369073,369102,369075,369092,369017,369071,369109,369061,369104,369071,369088,369097,369035,368998,369129,368957,369036,369007,369068,369138,369027,369078,369051,369035,368906,369053,368970,369021,369081,369151,369024,369029,369058,368982,368970,369031,369089,369051,369114,369029,369069,369113,369028,369107,369029,369044,369027,369074,369072,369099,369028,368968,369067,368985,369061,369045,368944,369183,369023,369003,369068,369038,369173,369083,369025,369036,369063,369216,369032,368966,369175,369150,369030,368973,368999,369061,369002,369034,369013,369087,369015,368995,368978,369118,369163,
06_TECH_ONES_INTERNAL,12_03_10_59_32.csv,80,80,80,396493,396495,396556,396526,396645,396512,396497,396441,396466,396490,396527,396429,396500,396491,396520,396502,396497,396463,396534,396616,396522,396530,396503,396482,396523,396427,396548,396545,396457,396436,396704,396414,396529,396430,396492,396586,396527,396592,396466,396556,396561,396496,396486,396600,396474,396539,396592,396458,396446,396460,396514,396502,396425,396623,396503,396437,396587,396523,396523,396470,396497,396499,396435,396474,396499,396473,396504,396468,396473,396616,396495,396514,396569,396512,396512,396600,396474,396528,396553,396491,396438,396643,396460,396514,396536,396559,396611,396474,396574,396516,396475,396471,396527,396553,396448,396621,396549,396449,396607,396518,396519,396432,396509,396539,396646,396514,396577,396562,396528,396504,396395,396511,396523,396556,396519,396524,396574,396415,396460,396503,396435,396476,396537,396527,396497,396517,396457,396598,396562,396542,396561,396551,396439,396549,396558,396472,396568,396635,396530,396575,396599,396417,396498,396521,396451,396515,396466,396503,396521,396488,396681,396621,396534,396549,396500,396475,396567,396514,396542,396578,396422,396506,396518,396530,396510,396469,396458,396614,396515,396590,396620,396420,396595,396542,396572,396460,396502,396527,396448,396499,396450,396523,396540,396621,396529,396472,396545,396536,396484,396481,396503,396632,396590,396409,396513,396481,396472,396563,396613,396493,396458,396538,396452,396485,396519,396498,396532,396489,396591,396607,396608,396489,396464,396504,396536,396483,396482,396543,396638,396554,396492,396606,396470,396545,396538,396527,396551,396441,396504,396482,396430,396516,396597,396513,396616,396477,396523,396489,396510,396588,396508,396595,396459,396422,396480,396559,396517,396528,396459,396535,
07_TECH_TWOS_EXTERNAL,12_03_11_02_05.csv,80,80,80,366839,366902,366846,366880,366869,366877,366847,366790,366824,366823,366895,366884,366827,366851,366888,366788,366851,366830,366922,366877,367018,366809,366812,366942,366877,366841,366890,366925,366928,366739,366907,366828,366803,366843,366881,366872,366956,366824,366980,366848,366808,366854,366898,366929,366777,366710,366880,366819,366907,366965,366929,366866,366960,366849,366916,366896,366858,366906,366901,366866,366938,366807,366886,366793,366788,366895,366918,366827,366869,366822,366868,366818,366838,366900,366860,366812,366897,366849,366865,366763,366942,366911,366885,366838,366841,366805,366747,366863,366849,366785,366821,366940,366776,366842,366815,366907,366843,366754,366828,366910,366815,366791,366753,366897,366905,366808,366867,366860,366861,366883,366849,366937,366820,366837,366801,366839,366781,366827,366803,366872,366832,366815,366855,366792,366864,366813,366805,366808,366908,366780,366849,366908,366793,366775,366790,366827,366778,366841,366816,366958,366860,366840,366834,366843,366819,366775,366850,366904,366761,366811,366806,366817,366920,366936,366884,366772,366871,366796,366794,366848,366831,366920,366857,366844,366872,366825,366795,366842,366856,366932,366821,366847,366764,366898,366840,366748,366902,366906,366715,366843,366926,366748,366831,366779,366774,366865,366862,366884,366846,366969,366902,366922,366955,366777,366890,366939,366895,366898,366686,366714,366814,366872,366866,366811,366841,366887,366851,366783,366668,366783,366873,366875,366847,366739,366852,366922,366817,366879,366840,366929,366911,366832,366835,366861,366736,366823,366779,366883,366816,366894,366822,366797,366909,366872,366987,366870,366945,366815,366863,366811,366846,366774,366903,366840,366848,366901,366807,366978,366819,366754,
08_TECH_TWOS_INTERMEDIATE,12_03_11_04_39.csv,80,80,80,368723,368859,368955,368901,368753,368657,368723,368781,368879,368771,368825,368741,368803,368800,368838,368816,368790,368878,368901,368700,368702,368769,368831,368824,368856,368892,368782,368714,368802,368785,368769,368665,368929,368721,368866,368798,368780,368678,368732,368891,368835,368787,368902,368756,368708,368877,368920,368766,368733,368822,368777,368757,368770,368874,368911,368775,368761,368796,368742,368719,368876,368793,368732,368735,368886,368851,368681,368775,368811,368661,368892,368828,368749,368841,368749,368780,368729,368899,368719,368801,368920,368907,368849,368850,368850,368824,368888,368861,368825,368855,368786,368773,368810,368783,368765,368816,368834,368883,368863,368727,368827,368801,368657,368766,368779,368699,368699,368672,368733,368840,368903,368845,368784,368837,368930,368681,368737,368988,368882,368797,368855,368828,368783,368746,368855,368867,368911,368849,368850,368733,368799,368690,368915,368838,368747,368857,368887,368732,368913,368812,368802,368812,368814,368757,368786,368772,368751,368659,368799,368846,368871,368936,368721,368715,368873,368833,368830,368878,368671,368910,368753,368809,368880,368781,368754,368775,368944,368832,368775,368911,368830,368828,368781,368995,368722,368723,368801,368813,368837,368809,368680,368823,368815,368865,368794,368795,368718,368788,368702,368811,368727,368854,368714,368820,368835,368773,368840,368880,368824,368870,368878,368870,368712,368871,368812,368877,368774,368777,368795,368878,368858,368777,368847,368667,368775,368803,368772,368783,368573,368777,368658,368891,368858,368813,368785,368869,368842,368887,368786,368819,368950,368704,368791,368735,368779,368769,368698,368747,368823,368872,368866,368803,368885,368840,368765,368847,368846,368687,368768,368927,
09_TECH_TWOS_INTERNAL,12_03_11_07_31.csv,80,80,80,397080,397060,397066,396977,396956,396996,396972,396920,397014,396919,397078,396957,396957,397012,397036,396939,397000,396925,397041,396955,397020,396960,396883,396940,397004,396940,397035,397050,396967,396991,396941,396957,396927,396974,396994,396958,396943,396967,397077,396997,397024,397032,397046,397013,396970,396886,397002,396927,396940,397011,397027,396974,396949,396880,397034,396994,397030,396914,397013,397009,397020,397013,397072,397030,396994,396897,396995,397037,396892,397062,396978,397018,396972,397012,397026,397019,396978,397026,396999,396933,396981,396965,397077,396959,396967,396970,397007,397098,396937,396989,397020,396863,397090,397007,396959,397018,396972,396968,397098,397023,397033,397026,396971,396986,396934,397023,397000,396980,397016,397026,396954,396957,397037,397020,397063,397090,397038,397076,396982,397053,396979,396947,397010,397005,396981,397026,396914,396891,396959,397022,396991,396978,396939,396956,396968,397019,397018,396944,397052,397095,397009,397014,397055,397027,396950,397043,397014,397010,397004,396981,396893,396958,396987,397078,396986,397048,397016,397018,397089,397056,397003,396959,397101,396994,397013,396918,396984,397053,396967,397051,396999,397007,396962,397080,397052,396999,397015,396956,396947,396988,397006,396944,396967,396967,396986,397017,397073,396988,397006,397072,397093,397017,397025,397042,397096,397113,397101,397111,397024,397041,397012,396996,396970,397018,396985,396961,397042,397034,396964,397045,397057,396935,396995,396988,397025,397024,397023,397044,396920,396997,397083,397030,396982,397025,397104,397070,397083,396983,397014,397083,396973,397076,397096,396981,397011,396910,396983,397084,397080,397104,397106,397035,396917,397028,396937,397010,397048,396991,397008,396962,
