19_TECH_TWOS_FLET,09_22_13_24_58.csv,320,320,320,10135,10132,10150,10166,10148,10136,10143,10155,10128,10138,10142,10142,10128,10132,10140,10128,10137,10134,10138,10147,10129,10135,10128,10126,10137,10142,10136,10137,10136,10149,10143,10132,10138,10136,10136,10142,10148,10153,10150,10132,10121,10136,10142,10148,10145,10167,10152,10163,10143,10143,10151,10156,10145,10139,10152,10164,10198,10170,10190,10191,10200,10185,10195,10183,10176,9200,10153,10150,10160,10155,10138,10151,10141,10145,10148,10150,10178,10138,10134,10128,10131,10160,9171,10131,10135,10135,10126,10140,10155,10147,10145,10156,10157,10137,10136,10146,10143,10150,10154,10127,10146,10147,10133,10137,10142,10146,10146,10155,10145,10131,10139,10149,10145,10151,10143,10141,10140,10135,10141,10140,10129,10164,10159,10138,10158,10150,10190,10147,10139,10136,10136,10128,10130,10147,10144,10151,10162,10124,10129,10137,10130,10177,10148,10140,10155,10149,10143,10150,10159,10138,10136,10149,10148,10135,10137,10158,10143,10148,10143,10150,10142,10147,10148,10134,10140,10137,10140,10147,10142,10138,10134,10140,10140,10151,10164,10140,10126,10145,10151,10133,10142,10138,10139,10142,10131,10135,10146,10136,10152,10147,
1_TECH_XOR_INTERMEDIATE,09_22_13_19_01.csv,320,320,320,2713,2697,2697,2693,2714,2692,2699,2699,2700,2701,2700,2698,2703,2701,2698,2700,2039,1579,1543,1542,1540,1570,1547,1540,1540,1541,1555,1546,1541,1545,1574,1545,1544,1540,1547,1545,1546,1539,1538,1547,1545,1545,1545,1546,1546,1545,1543,1562,1568,1546,1554,1542,1540,1536,1544,1544,1351,1273,1269,1268,1269,1281,1293,1273,1271,1271,1278,1269,1272,1282,1270,1271,1268,1269,1281,1272,1271,1271,1270,1268,1268,1280,1277,1270,1264,1268,1267,1270,1272,1272,1270,1271,1286,1285,1268,1267,1266,1269,1274,1270,1271,1272,1278,1271,1271,1270,1271,1286,1283,1268,1271,1272,1273,1282,1272,1302,1274,1270,1274,1285,1276,1272,1270,1268,1270,1274,1270,1279,1269,1271,1270,1267,1275,1271,1271,1269,1269,1268,1269,1290,1271,1269,1289,1272,1277,1270,1272,1270,1269,1268,1267,1271,1272,1271,1270,1268,1270,1291,1281,1272,1269,1267,1268,1268,1271,1281,1270,1268,1276,1286,1272,1280,1272,1287,1279,1269,1269,1270,1268,1271,1272,1269,1268,1271,1269,1267,1271,1298,1271,1271,
20_TECH_TWOS_CRC,09_22_13_25_20.csv,320,320,320,11237,9626,9616,9647,9632,9609,9613,9610,9633,9595,9629,9642,9621,9613,9619,9609,9610,9612,9598,9628,9603,9609,9639,9600,9603,9596,9597,9601,9588,9620,9605,9607,9395,9609,9622,9631,9619,9597,9607,9622,9607,9602,9616,9609,9602,9612,9385,9606,9651,9658,9633,9645,9609,9608,9635,9645,9613,9629,9612,9621,9613,9597,9612,9607,9596,9608,9625,9644,9618,9625,9640,9613,9630,9635,9629,9641,9642,9634,9642,9677,9697,9687,9693,9651,9632,9611,9640,9681,9620,9417,9617,9620,9587,9592,9593,9602,9618,9635,9601,9625,9602,9590,9615,9635,9379,9613,9607,9606,9611,9594,9368,9626,9621,9623,9616,9617,9629,9633,9615,9605,9606,9611,9609,9595,9601,9616,9624,9649,9627,9606,9608,9615,9615,9610,9595,9623,9606,9598,9610,9608,9617,9633,9605,9632,9620,9643,9618,9605,9620,9606,9384,9605,9386,9594,9602,9599,9607,9603,9597,9602,9604,9612,9607,9622,9623,9641,9388,9605,9628,9617,9615,9634,9619,9608,9611,9616,9622,9617,9619,9373,9630,9603,9606,9601,9619,9619,9605,9632,9620,9388,
21_TECH_FLET_CRC,09_22_13_25_56.csv,320,320,320,29361,29346,29370,29354,29427,29367,29355,29341,29339,29371,29349,29356,29400,29348,29342,29369,29366,29355,29368,29448,29357,29345,29433,29509,29514,29428,29369,29353,29353,29348,29380,29361,29362,29356,29444,29362,29350,29357,29350,29348,29349,29353,29388,29355,29353,29349,29349,29369,29398,29377,29364,29364,29378,29366,29384,29366,29358,29368,29367,29385,29368,29365,29355,29381,29370,29378,29358,29363,29361,29364,29363,29361,29357,29349,29369,29358,29356,29360,29361,29361,29363,29367,29354,29362,29346,29355,29361,29366,29359,29386,29367,29358,29360,29353,29361,29369,29364,29370,29371,29353,29360,29353,29367,29360,29358,29363,29366,29358,29353,29362,29365,29366,29368,29354,29358,29358,29352,29360,29341,29360,29373,29350,29371,29366,29395,29372,29365,29367,29360,29364,29355,29438,29360,29361,29357,29386,29451,29360,29353,29384,29385,29372,29398,29375,29373,29366,29363,29365,29342,29358,29357,29360,29363,29359,29468,29381,29368,29372,29384,29451,29417,29390,29375,29378,29401,29389,29377,29377,29351,29373,29383,29374,29375,29451,29365,29374,29358,29365,29362,29368,29364,29367,29347,29345,29351,29377,29356,29371,29467,29383,
22_TECH_NO_ED,09_22_13_26_11.csv,320,320,320,1921,1911,1910,1910,1948,1919,1916,1909,1922,1912,1914,1910,1913,1912,1889,1900,1912,1914,1919,1910,1913,1909,1919,1934,1911,1914,1908,1907,1914,1909,1914,1913,1916,1943,1914,1907,1909,1911,1914,1916,1907,1909,1914,1909,1906,1909,1918,1906,1915,1905,1906,1909,1593,1085,1089,1091,1111,1093,1092,1096,1094,1088,1094,1125,1093,1089,1098,1095,1097,1090,1087,1093,1090,1095,1093,1093,1092,1095,1087,1086,1098,1095,1092,1089,1095,1098,1089,1086,1104,1087,1094,1093,1097,1096,1109,1092,1091,1092,1094,1122,1097,1092,1100,1088,1085,1092,1085,1106,1091,1089,1091,1092,1092,1095,1092,1091,1093,1089,1094,1092,1090,1090,1099,1095,1094,1093,1091,1090,1092,1091,1093,1091,1089,1091,1096,1092,1091,1092,1095,1092,1095,1093,1091,1090,1097,1094,1119,1098,1091,1088,1096,1094,1093,1091,1086,1091,1090,1091,1091,1098,1096,1090,1092,1095,1117,1094,1094,1090,1096,1086,1093,1096,1091,1097,1091,1097,1093,1089,1108,1099,1097,1094,1098,1098,1094,1092,1097,1093,1090,1113,
2_TECH_XOR_INTERNAL,09_22_13_19_18.csv,320,320,320,10236,9579,9537,9535,9565,9551,9527,9527,9532,9527,9525,9533,9539,9531,9539,9548,9538,9543,9554,9550,9548,9546,9539,9545,9548,9543,9535,9548,9537,9537,9545,9533,9545,9581,9549,9546,9552,9538,9536,9555,9532,9556,9548,9540,9538,9534,9538,9542,9537,9544,9543,9536,9535,9538,9540,9547,9542,9531,9526,9526,9559,9529,9531,9546,9530,9551,9551,9519,9526,9525,9527,9537,9544,9540,9516,9526,9538,9532,9541,9539,9552,9547,9539,9544,9539,9537,9536,9538,9532,9534,9544,9533,9539,9535,9559,9605,9603,9655,9582,9606,9610,9597,9541,9553,9549,9550,9551,9531,9530,9527,9532,9539,9537,9552,9540,9551,9550,9542,9542,9537,9541,9549,9539,9540,9541,9540,9546,9543,9546,9547,9533,9533,9546,9531,9549,9540,9536,9547,9534,9537,9537,9543,9537,9538,9538,9532,9530,9539,9532,9533,9537,9534,9531,9548,9546,9545,9549,9524,9524,9536,9541,9558,9535,9539,9534,9543,9534,9543,9535,9534,9538,9534,9541,9539,9544,9542,9532,9537,9540,9535,9543,9527,9536,9519,9541,9550,9535,9531,9537,9545,
3_TECH_ONES_EXTERNAL,09_22_13_19_33.csv,320,320,320,2867,2856,2876,2830,2827,2847,2835,956,685,684,691,685,689,690,686,682,681,696,687,680,684,681,698,681,688,680,700,682,691,690,683,678,682,692,698,676,679,681,689,693,708,683,682,687,672,688,681,684,679,688,691,685,683,680,682,692,684,685,682,687,677,692,690,689,698,685,682,693,673,681,684,686,687,685,690,686,696,682,684,681,681,685,693,723,690,686,696,683,699,679,678,697,692,694,693,679,691,687,683,680,690,671,691,683,681,683,679,687,684,686,702,683,681,680,691,689,683,684,684,680,686,693,698,686,695,683,685,669,686,684,683,682,687,694,688,682,708,683,687,686,688,685,677,685,681,691,681,683,689,682,681,681,692,686,684,679,685,687,687,687,682,668,693,687,697,685,690,686,708,699,692,686,683,684,695,687,687,679,681,678,678,689,676,693,681,689,683,687,683,681,
4_TECH_ONES_INTERMEDIATE,09_22_13_19_48.csv,320,320,320,2696,2693,2691,2690,2693,2694,2695,2693,2688,2700,2702,2685,2683,2691,2694,2687,2694,2696,2702,2691,1573,1544,1539,1537,1539,1535,1541,1557,1542,1535,1537,1536,1561,1535,1544,1541,1542,1551,1543,1551,1544,1543,1552,1547,1544,1545,1545,1546,1544,1543,1582,1544,1543,1543,1552,1549,1544,1540,1568,1544,1542,1543,1548,1542,1542,1540,1541,1542,1544,1541,1538,1535,1538,1540,1543,1265,1267,1268,1269,1265,1281,1269,1269,1270,1268,1270,1269,1269,1278,1277,1274,1282,1312,1294,1269,1276,1266,1264,1270,1285,1280,1265,1264,1265,1274,1279,1269,1269,1293,1272,1267,1264,1274,1278,1269,1285,1266,1273,1267,1265,1279,1269,1266,1267,1277,1266,1265,1270,1280,1285,1274,1268,1268,1268,1281,1278,1265,1266,1267,1264,1282,1268,1278,1266,1265,1265,1266,1268,1267,1268,1268,1267,1293,1271,1268,1268,1277,1266,1272,1266,1266,1276,1276,1268,1268,1265,1266,1265,1269,1265,1265,1264,1265,1263,1265,1265,1263,1264,1134,1262,1266,1273,1266,1263,1265,1266,1262,1264,1265,1264,
5_TECH_ONES_INTERNAL,09_22_13_20_08.csv,320,320,320,9541,9568,9567,9533,9537,9548,9551,9542,9543,9553,9528,9537,9529,9556,9551,9530,9578,9563,9620,9571,9589,9579,9584,9569,9543,9529,9561,9561,9571,9601,9557,9543,9558,9540,9576,9536,9537,9548,9554,9540,9552,9535,9546,9535,9539,9541,9549,9548,9542,9546,9539,9558,9546,9553,9562,9546,9548,9548,9543,9527,9569,9587,9545,9543,9553,9553,9548,9546,9545,9540,9542,9538,9544,9546,9549,9541,9543,9549,9551,9557,9543,9526,9554,9542,9568,9546,9553,9551,9546,9542,9534,9534,9531,9531,9555,9561,9549,9552,9544,9554,9550,9547,9540,9564,9542,9553,9540,9544,9534,9553,9534,9551,9547,9553,9535,9545,9534,9535,9548,9539,9544,9546,9550,9551,9554,9551,9550,9558,9548,9541,9528,9559,9549,9549,9553,9536,9537,9540,9534,9535,9539,9551,9553,9559,9540,9543,9533,9556,9532,9542,9541,9530,9530,9530,9542,9535,9534,9534,9550,9563,9546,9559,9540,9549,9539,9538,9552,9532,9544,9540,9552,9559,9536,9550,9534,9542,9545,9545,9538,9549,9552,9546,9554,9560,9557,9553,9553,9548,9571,9541,
6_TECH_TWOS_EXTERNAL,09_22_13_20_23.csv,320,320,320,2817,2835,2813,763,675,677,680,669,667,713,682,682,686,683,678,678,678,682,695,684,680,683,677,692,679,679,675,674,689,679,679,675,675,688,684,681,680,686,680,684,686,690,675,678,688,683,676,677,676,676,679,678,686,685,682,675,676,679,683,686,677,676,684,674,685,693,683,678,679,672,680,685,684,678,681,679,675,691,680,678,675,676,688,680,667,700,681,672,677,676,673,677,673,673,673,675,672,672,667,670,686,670,672,673,672,668,669,675,675,688,673,674,673,676,671,672,673,674,672,669,659,676,676,675,676,674,675,679,664,671,673,674,671,676,677,673,698,672,684,675,679,675,673,674,672,685,685,671,677,672,671,675,675,677,683,671,684,674,679,675,670,674,677,676,673,682,675,672,672,673,672,671,681,673,674,674,672,675,672,675,675,675,672,673,678,675,672,671,673,671,
7_TECH_TWOS_INTERMEDIATE,09_22_13_20_37.csv,320,320,320,2710,2695,2727,2698,2690,2688,2688,2708,2684,2688,2686,2686,2694,2694,2687,2682,2683,2695,2388,2689,2682,2681,2686,2385,2384,2681,2697,2690,2194,1537,1535,1534,1536,1551,1536,1533,1535,1537,1549,1536,1536,1532,1546,1535,1369,1542,1539,1538,1534,1558,1538,1533,1532,1533,1532,1559,1549,1536,1538,1534,1537,1535,1536,1546,1538,1534,1535,1550,1554,1532,1268,1264,1264,1264,1265,1264,1264,1262,1268,1265,1274,1265,1263,1265,1266,1263,1280,1263,1264,1262,1263,1282,1264,1283,1262,1264,1263,1263,1277,1263,1264,1263,1263,1263,1262,1274,1264,1265,1268,1264,1274,1264,1265,1263,1268,1264,1265,1269,1265,1265,1261,1265,1261,1288,1262,1263,1263,1265,1271,1275,1288,1275,1266,1263,1273,1263,1264,1263,1265,1362,1267,1273,1265,1263,1263,1262,1265,1270,1264,1263,1261,1264,1264,1285,1261,1264,1264,1264,1270,1272,1276,1264,1263,1262,1263,1277,1264,1264,1267,1274,1273,1274,1264,1262,1262,1262,1263,1264,1263,1262,1277,1263,1266,1264,1264,1264,1262,1261,1265,1263,
8_TECH_TWOS_INTERNAL,09_22_13_20_57.csv,320,320,320,11647,11647,11682,11334,9528,9546,9522,9542,9522,9586,9546,9538,9518,9514,9508,9517,9531,9514,9525,9550,9537,9529,9543,9531,9520,9519,9518,9502,9522,9515,9534,9524,9520,9520,9539,9522,9526,9541,9523,9559,9512,9536,9552,9558,9597,9566,9598,9577,9534,9522,9529,9571,9552,9522,9528,9535,9514,9530,9513,9544,9577,9544,9543,9541,9598,9549,9553,9543,9559,9542,9528,9542,9532,9553,9539,9531,9536,9543,9536,9553,9539,9539,9529,9520,9512,9553,9543,9525,9537,9533,9525,9520,9531,9521,9540,9565,9545,9559,9542,9540,9531,9524,9517,9534,9519,9524,9519,9530,9522,9531,9541,9565,9552,9528,9521,9506,9529,9510,9522,9511,9541,9556,9521,9524,9521,9555,9525,9543,9560,9528,9525,9535,9523,9540,9502,9537,9529,9564,9520,9560,9548,9515,9536,9527,9539,9525,9514,9539,9541,9529,9523,9530,9536,9514,9512,9551,9542,9551,9537,9549,9525,9533,9554,9516,9519,9555,9534,9533,9542,9522,9512,9542,9539,9527,9540,9538,9525,9554,9544,9535,9512,9523,9528,9545,9538,9534,9529,9538,9544,9536,
9_TECH_FLETCHER_EXTERNAL,09_22_13_21_11.csv,320,320,320,3918,3907,3934,3910,3398,956,939,936,940,961,957,941,947,943,946,939,942,953,952,942,944,939,938,957,944,972,941,941,939,939,944,948,943,944,936,937,943,939,940,950,942,941,953,941,937,947,943,940,954,943,946,939,940,940,941,943,945,939,940,941,943,953,954,945,936,939,937,948,948,939,939,940,940,944,945,939,940,937,941,950,948,941,940,941,941,945,943,941,939,940,948,947,951,944,940,941,938,944,940,941,939,934,939,951,944,941,938,940,946,945,948,942,940,946,944,943,948,943,941,942,941,939,952,943,941,940,940,938,940,945,945,937,943,942,942,944,962,938,942,941,946,944,943,939,938,939,952,944,941,942,938,940,939,949,949,947,945,944,948,930,942,941,935,937,945,949,944,940,939,942,950,943,945,941,939,945,941,993,950,933,940,931,942,940,955,947,946,945,947,948,
