0_TECH_XOR_EXTERNAL,09_09_09_08_53.csv,80,80,80,373491077,373261060,373305764,373247780,373260676,373618948,373602916,373417605,373249476,373391236,
0_TECH_XOR_EXTERNAL,09_09_09_16_13.csv,80,80,80,372431,372703,372677,372357,372697,372787,372764,372684,372388,372509,372312,372508,372256,372680,372546,372611,372603,372630,372271,372711,372573,372448,372744,372377,372770,372500,372627,372454,372601,372533,372485,372539,372717,372427,372432,372654,372816,372727,372855,372368,372570,372737,372427,372413,372685,372715,372626,372514,372564,372453,372630,372518,372439,372553,372754,372356,372608,372247,372538,372632,372566,372366,372363,372289,372664,372474,372545,372586,372652,372636,372510,372583,372588,372403,372405,372329,372488,372241,372402,372619,372789,372367,372450,372502,372504,372648,372522,372645,372509,372286,
10_TECH_FLETCHER_INTERMEDIATE,09_09_09_25_11.csv,80,80,80,382332,382238,381947,382263,382105,382154,382046,382098,381974,382104,382310,382238,382098,382282,382245,382104,382364,382026,381964,382255,382285,382180,381859,382085,382252,382133,382324,382017,382261,382072,382197,382171,381957,381936,382240,382098,382284,382004,382103,382061,382300,382280,382257,382184,382136,382197,382031,382148,382157,382112,382092,382262,381753,382298,382328,381993,382239,382055,382376,382038,382110,382165,382158,382141,381885,382030,382060,382212,382193,382275,382089,382340,382175,382341,382345,382118,382168,382279,382175,382260,382167,382013,382202,382248,382088,382042,382109,382094,381740,382152,
11_TECH_FLETCHER_INTERNAL,09_09_09_26_13.csv,80,80,80,467475,467315,467385,467563,467292,467178,467493,467332,467287,467508,467281,467270,467605,467215,467435,467774,467612,467555,467373,467481,467370,467804,467568,467445,467630,467819,467440,467614,467564,467708,467668,467614,467517,467648,467074,467284,467540,467422,467619,467385,467606,467626,467471,467642,467651,467337,467429,467446,467356,467530,467476,467624,467644,467650,467234,467680,467564,467054,467142,467343,467605,467235,467354,467372,467597,467569,467598,467343,467229,467590,467259,467515,467612,467386,467323,467611,467573,467634,467672,467424,467418,467570,467467,467340,467478,467643,467390,467361,467246,467473,
12_TECH_CRC_EXTERNAL,09_09_09_27_05.csv,80,80,80,374793,374802,374813,375033,374891,374691,375013,374732,374764,375105,374670,374847,375147,374812,374848,374828,374877,374809,374837,374716,374866,374755,374915,374750,374943,374546,374904,374877,374855,374805,374919,374937,374948,374945,374842,374914,374983,374778,374730,374781,374764,374790,374756,374578,375011,374712,374885,374824,374847,374976,374964,374808,374744,374695,374816,374911,375035,374904,374862,374867,374844,374944,374873,374697,374730,374863,374922,375012,374948,374924,375001,374857,375028,374848,374748,374759,374790,374741,375143,374820,374923,374964,375093,375032,374951,374846,374861,374898,374916,374598,
13_TECH_CRC_INTERMEDIATE,09_09_09_27_58.csv,80,80,80,382321,382313,382577,382434,382688,382493,382389,382394,382196,382361,382286,382431,382355,382462,382212,382463,382215,382264,382267,382191,382108,382454,382414,382454,382454,382357,382234,382316,382362,382496,382627,382302,382516,382502,382311,382169,382213,382327,382395,382367,382413,382343,382365,382465,382184,382244,382074,382211,382336,382407,382286,382431,382288,382360,382292,382204,382499,382269,382133,381978,382361,382406,382476,382401,382297,382450,382390,382254,382282,382275,382471,382603,382165,382371,382179,382208,382353,382521,382281,382133,382222,382202,382208,382372,382598,382319,382369,382216,382364,382045,
14_TECH_CRC_INTERNAL,09_09_09_28_58.csv,80,80,80,449285,449818,449506,449246,449153,449567,449544,449321,449193,449299,449215,449148,449173,449320,449075,449011,449297,449286,449530,449167,449411,449484,449358,449216,449241,449396,448947,449184,448979,449625,448870,449319,449121,449146,449412,449155,449227,449496,449449,449290,449126,449273,449340,449086,449015,449301,449385,449317,449208,449317,448957,449183,449072,449433,449280,449128,449133,449393,449322,449231,449232,449395,449134,448955,449278,449380,449105,449068,449462,449403,449291,449001,449379,449737,449334,449187,449054,449290,449403,448989,449241,449085,449284,449114,449084,449399,449306,449472,449021,449221,
15_TECH_XOR_FLET,09_09_09_29_56.csv,80,80,80,427087,427158,426948,427057,427216,426923,427097,427394,427214,426788,427121,426925,427095,426690,427201,426864,427068,427114,427314,426976,427205,427034,427177,426755,426858,427195,427126,426915,426829,427058,427076,427124,427002,427083,427140,427191,427029,427009,427186,426811,427135,426919,427167,426703,427100,426955,427145,426974,426727,426965,426994,426980,427059,427141,427322,426938,427066,427322,427048,426974,427139,426832,427057,426946,427229,426969,426880,427402,427330,427011,427089,426962,427277,427046,427084,426918,427005,426888,427025,426948,426780,427200,427043,426949,427019,426848,426921,427046,427147,427122,
16_TECH_XOR_CRC,09_09_09_30_53.csv,80,80,80,425198,425216,424854,425151,425206,425072,424924,425194,425336,425292,425186,425158,425148,425011,425037,424855,424972,425297,424854,425172,424911,424927,425139,425182,425063,425359,424963,425041,425042,424936,425050,425097,424876,425153,425178,425054,425270,424916,424871,425106,425094,425199,425116,425029,425182,424962,425024,424997,425119,424993,425262,425221,424665,425076,424846,425187,424956,425106,425082,425184,425028,425122,425009,425343,424740,425058,425053,424877,425084,424896,425019,425015,424813,424986,425072,424895,425210,425111,425047,425220,425017,425324,424964,425274,425350,424734,425164,425150,425048,425077,
17_TECH_ONES_FLET,09_09_09_31_50.csv,80,80,80,427795,427774,427751,427799,427876,427798,427736,427774,427846,427756,427739,427760,427711,427736,427758,427766,427792,427702,427789,427808,427908,427873,427713,427847,427764,427755,427742,427755,427839,427784,427829,427667,427726,427686,427734,427781,427872,427746,427782,427743,427775,427792,427737,427818,427774,428205,428018,427690,427805,427724,427760,427739,427721,427729,427699,427756,427722,427677,427702,427738,427697,427746,427824,427805,427744,427717,427738,427738,427907,427751,427728,427817,427801,427754,427725,427703,427762,427768,427757,427808,427704,427809,427682,427788,427795,427903,427780,427856,427781,427789,
18_TECH_ONES_CRC,09_09_09_32_48.csv,80,80,80,423855,423795,423894,423807,423908,423692,423756,423763,423892,423636,423579,423846,423752,423769,423808,423633,423812,423629,423661,423625,423848,423940,423879,423939,424026,423839,423630,423911,423591,423699,423582,423537,423861,423938,423759,423834,423952,423913,423583,423865,423868,423984,423716,423805,423968,423888,423741,423872,423729,423921,423776,423676,423803,423618,423599,423709,424209,423889,423782,423615,423973,424050,423877,423573,423710,423767,423623,423541,423829,424001,423764,423644,424034,423894,423668,424031,424102,423800,423862,423981,423898,424244,423797,423795,423894,423800,423723,423838,423722,424428,
